Qubit,T1_us,T2_us,Frequency_GHz,Readout_assignment_error_,Prob_meas0_prep1_,Prob_meas1_prep0_,Readout_length_ns,ID_error_,One,One_pred,RSE
30,451.54306417141504,64.82208370954781,4.732967566627754,0.009765625,0.01025390625,0.00927734375,1300,0.0003115184437534,115.0,225,12100.0
31,83.55821541336894,60.4872428282716,4.797663384807813,0.00830078125,0.00830078125,0.00830078125,1300,0.0015168449695105,159.0,114,2025.0
32,199.16315807280392,229.88400733265004,4.9103797489987215,0.015625,0.0126953125,0.0185546875,1300,0.0001504423360221,194.0,203,81.0
33,260.99290474339494,130.71509707998823,4.973179697471859,0.019775390625,0.0087890625,0.03076171875,1300,0.0001634929853537,193.0,252,3481.0
34,317.53349157381024,146.15783933615776,4.678636143402687,0.03271484375,0.03076171875,0.03466796875,1300,0.0001668462671431,471.0,371,10000.0
35,316.3074967024734,162.78309672726076,4.907592822575734,0.015380859375,0.01123046875,0.01953125,1300,0.0002137411655768,287.0,233,2916.0
36,314.3919119961733,321.6621525939768,4.812320088271115,0.01171875,0.0107421875,0.0126953125,1300,0.0001541707803795,182.0,204,484.0
37,218.94861274492885,115.3501760778438,4.837893596260817,0.009521484375,0.00927734375,0.009765625,1300,0.0002041424106492,166.0,160,36.0
38,361.1224902313194,148.7370245801475,4.776679686934628,0.016845703125,0.02001953125,0.013671875,1300,0.0001686289197716,312.0,257,3025.0
39,197.5799002990383,122.65697825828302,4.917290389167841,0.0537109375,0.07666015625,0.03076171875,1300,0.0005978562129862,591.0,507,7056.0
40,148.6326259388869,27.48317491569151,4.868229793058646,0.01513671875,0.02001953125,0.01025390625,1300,0.000303750120587,146.0,186,1600.0
41,222.75931420476184,311.1431416381917,4.935537241830892,0.00732421875,0.00634765625,0.00830078125,1300,0.0004842596519683,89.0,144,3025.0
42,214.9839375095677,151.4920110662227,5.063945455635412,0.011962890625,0.01171875,0.01220703125,1300,0.0001579255091859,133.0,179,2116.0
43,331.7402607251488,128.1248826335814,4.829562622844446,0.015380859375,0.015625,0.01513671875,1300,0.0002835212679403,163.0,237,5476.0
44,308.66405778441754,19.15563144479496,4.949169491471418,0.026123046875,0.0107421875,0.04150390625,1300,0.0002837085934998,186.0,315,16641.0
45,102.98731307735318,21.88068915250893,4.999413985349006,0.060546875,0.0576171875,0.0634765625,1300,0.0005042727290379,724.0,533,36481.0
46,290.24365676460724,250.49212523751825,4.853139378275407,0.016357421875,0.01904296875,0.013671875,1300,0.0002822575388783,109.0,234,15625.0
