Unnamed:_0,Qubit,T1_us,T2_us,Readout_assignment_error_,Prob_meas0_prep1_,Prob_meas1_prep0_,_x_sx_error_,P_Value,Zero,One,Quality,abs,P_Value_pred,RSE
79,39,483.4137225482638,67.42686637406638,0.010009765625,0.0146484375,0.00537109375,0.0011112661171307,0.2496252141560173,29859,30141,1,282,0.08080823291486522,0.028499173155375493
80,40,337.3254197904221,32.608481067193914,0.019287109375,0.029296875,0.00927734375,0.0006658792618911,8.080114818177274e-20,31116,28884,0,2232,0.07824932109593721,0.006122956251975085
81,40,383.02857490914784,30.514822129904285,0.0057,0.0078,0.0036,0.0002337033562573,0.0011227105875083,30399,29601,0,798,0.08201589730286528,0.006543707656965606
82,41,291.4894407662841,466.0764009444199,0.008,0.0136,0.0024,9.25694630195e-05,1.1463448286885588e-12,30871,29129,0,1742,0.0804388958845521,0.00647041597094139
83,41,290.2414667123466,380.4882364584848,0.00390625,0.0048828125,0.0029296875,0.0001369076791353,7.56359004702297e-13,30878,29122,0,1756,0.08254758399060604,0.006814103622561287
84,42,205.4471863214168,82.25441035769879,0.0031999999999999,0.0054,0.001,0.000159784669073,0.0005362857343913,30424,29576,0,848,0.0820328198251947,0.006641685068813481
85,42,283.23425009827747,79.70553005998471,0.002197265625,0.0029296875,0.00146484375,0.0001708036336303,0.0909996585914394,30207,29793,1,414,0.08269499502702143,6.896743691817123e-05
86,43,316.58631167489835,243.64277209290512,0.00244140625,0.0029296875,0.001953125,0.0001554790372631,7.3750743155102146e-06,30549,29451,0,1098,0.0827952246163878,0.006853828031800798
87,43,296.5571325974068,185.6937292001305,0.005,0.0082,0.0018,0.000200214286542,2.429110736895965e-05,30517,29483,0,1034,0.08155464010466047,0.006647197807620154
88,44,40.8672850153776,47.17494507706752,0.0724,0.1108,0.034,0.0007281440743607,1.0348557412018768e-157,33277,26723,0,6554,0.06462512006226578,0.0041764061430622675
89,44,39.69521016980303,68.3005344813996,0.061767578125,0.07080078125,0.052734375,0.0006410913717374,0.5899643148595012,29934,30066,1,132,0.07764763370361094,0.2624683817905861
90,45,259.9404817933517,106.77627857432144,0.0028,0.005,0.0006,0.0002106559414299,1.3000792601586315e-05,30534,29466,0,1068,0.08204248258555029,0.006728835883219704
91,45,226.9641046870836,135.30753161165268,0.0048828125,0.0048828125,0.0048828125,0.0001978502496521,0.0052315675973188,30342,29658,0,684,0.08294850234807154,0.0060399219470527584
92,46,369.1163126264596,65.87074531771347,0.00390625,0.00439453125,0.00341796875,0.0005694031232303,4.542755019439727e-14,30924,29076,0,1848,0.08275983853110104,0.006849190873686398
93,46,402.5889666546907,54.21561836444542,0.0080999999999999,0.0144,0.0018,0.0015583019958972,0.0001418763546292,30466,29534,0,932,0.08013219208520957,0.006398450610677933
94,47,382.95928050822,113.3214745703488,0.038818359375,0.02685546875,0.05078125,0.001017780240402,0.4427802600317992,29906,30094,1,188,0.08732896094772255,0.12634562602055774
95,47,352.1670927515764,118.86781989218264,0.0256999999999999,0.038,0.0134,0.0023504998384085,1.358997296382712e-90,32472,27528,0,4944,0.07709884683595869,0.005944232183434617
96,48,287.6713075816916,84.03723882608601,0.00390625,0.005859375,0.001953125,0.0002050934362658,0.00181455529081,30382,29618,0,764,0.082123074909616,0.006449458323364149
97,48,277.1079513657119,83.5146618473864,0.0059,0.0116,0.0002,0.000327616582212,3.517415957494632e-15,30964,29036,0,1928,0.08044615564652582,0.006471583958304494
98,49,75.74210716475224,70.49181483833824,0.024,0.0382,0.0098,0.0006387194828518,1.1544451285357586e-36,31549,28451,0,3098,0.0763139886994959,0.005823824871226789
99,49,232.89342563742764,78.99620754834899,0.016845703125,0.01611328125,0.017578125,0.0002263825024575,2.32087443946486e-12,30859,29141,0,1718,0.08297789779563879,0.006885331522198313
100,50,284.2040759075488,93.2450733831118,0.007,0.0086,0.0054,0.0001492907456387,1.7361180256593384e-07,30640,29360,0,1280,0.08220184198117635,0.006757114282708507
101,50,373.507132808728,89.31684600261572,0.006103515625,0.0087890625,0.00341796875,0.0001690641294492,0.0001372684234533,30467,29533,0,934,0.08175161397094333,0.006660901399145105
102,51,257.80816089543686,70.28682559650808,0.0611,0.0636,0.0586,0.0002059141647595,9.430663987779013e-31,31412,28588,0,2824,0.08050372607403557,0.006480849911803354
103,51,257.80816089543686,73.98682233210822,0.058349609375,0.0517578125,0.06494140625,0.0001969247301152,1.2429453868651867e-10,29212,30788,0,1576,0.08452234653178715,0.007144027042228181
104,52,318.9619849940503,39.45160759764023,0.1062999999999999,0.1022,0.1104,0.0006265670669034,1.3494633471840448e-05,30533,29467,0,1066,0.08228083632681125,0.00676791550928866
105,52,289.8840118276489,33.810877632179384,0.093505859375,0.087890625,0.09912109375,0.0004467187878395,2.0230924681556683e-24,31249,28751,0,2498,0.08324857140391467,0.00693032464079268
106,53,391.3459219852715,513.7918019772176,0.0087890625,0.0078125,0.009765625,0.0001176309001583,1.0779456794919623e-05,30539,29461,0,1078,0.08327864853496351,0.006933538020819025
107,53,308.7278040747683,403.8892267957536,0.0043999999999999,0.0068,0.002,0.0001238513631203,7.183276554194778e-15,30953,29047,0,1906,0.08191689208434101,0.006710377208756393
108,54,302.46170045346724,18.026000275562804,0.0107421875,0.01220703125,0.00927734375,0.0002406773299573,0.0105994450239244,30313,29687,1,626,0.08217019438543942,0.005122372164168802
109,54,395.3411062960901,21.475145259320545,0.0128,0.014,0.0116,0.0003860810496375,2.2590444751163404e-05,30519,29481,0,1038,0.08223561087559307,0.006758980728362028
110,55,166.84510817412897,36.552515349844654,0.0098,0.0184,0.0012,0.0003204606637055,9.596025138418597e-13,30874,29126,0,1748,0.07909132156615035,0.006255437146928407
111,55,357.1161090057925,42.144531061604525,0.02734375,0.02490234375,0.02978515625,0.0001377291214908,0.0012954016599891,30394,29606,0,788,0.08346718840948282,0.006752202537604271
112,56,180.6980995857901,239.4020673680928,0.0078125,0.01318359375,0.00244140625,0.0003347842737957,2.1401873751978984e-16,31006,28994,0,2012,0.08054293023205286,0.0064871636103653015
113,56,252.7676216934641,325.328600148518,0.0056,0.0088,0.0024,0.0005827426861536,2.9252967408493234e-14,30931,29069,0,1862,0.08154014596412702,0.006648795403846369
114,57,260.5170626943087,55.891498844340944,0.005615234375,0.00927734375,0.001953125,0.0004308096791631,1.434215057364858e-28,31358,28642,0,2716,0.08133890025171556,0.006616016694158533
115,57,325.41439955162525,45.39351933600224,0.0052999999999999,0.0086,0.002,0.0007870638989866,5.536200109523463e-23,31209,28791,0,2418,0.08150392330450042,0.006642889514025886
116,58,268.3215994955801,44.53255083269776,0.0048828125,0.00537109375,0.00439453125,0.0005912960816771,1.508579805050118e-05,30530,29470,0,1060,0.08273624780757652,0.0068427906442062505
117,58,268.4054656704171,38.23945273659752,0.0059,0.0086,0.0032,0.0006261133169421,1.0658098157096252e-09,30747,29253,0,1494,0.08175024754332719,0.006683102799134841
118,59,322.7154051717627,90.22591922849612,0.0078125,0.0068359375,0.0087890625,0.0001885712186463,0.172709461301273,30167,29833,1,334,0.08330223925848804,0.00799365135340785
119,59,302.66356727472123,81.40676409227983,0.0023999999999999,0.0038,0.001,0.0001649691890019,0.0070507291104227,30330,29670,0,660,0.08239990318505301,0.00567749803372894
120,60,267.4837088322658,393.3572294478523,0.0053999999999999,0.0064,0.0044,0.0001133848697405,0.044581525432607,30246,29754,1,492,0.08250131140195921,0.0014379101679614806
121,60,273.038109686163,449.95737430428704,0.00927734375,0.0166015625,0.001953125,0.0001593658435641,0.8128243582063269,30029,29971,1,58,0.07965852598478604,0.5375321375371046
122,61,307.51754275427044,172.13936217736517,0.0146484375,0.0107421875,0.0185546875,0.0002192863439092,9.023268752229726e-09,30704,29296,0,1408,0.08441063143678651,0.007125153176237466
123,61,329.0200361877782,144.72637081963748,0.0174999999999999,0.032,0.003,0.000255982155983,1.5654835293976676e-05,30529,29471,0,1058,0.07634059936559498,0.005825497157553525
124,62,287.10008549526685,26.973170940958774,0.0458984375,0.037109375,0.0546875,0.0006862939039704,0.3823081571552292,29893,30107,1,214,0.08577827368895224,0.0879299717885238
125,62,259.1189678306923,25.43177661958888,0.027,0.03,0.024,0.0005837113120032,5.9088664977600687e-08,30664,29336,0,1328,0.08111012774488703,0.006578843237417056
126,63,188.82752787332217,169.07567220404547,0.00341796875,0.0048828125,0.001953125,0.0004465806588605,1.5286075931341484e-08,30693,29307,0,1386,0.08234712481187327,0.006781046447253663
127,63,295.56363154654804,171.28902505873484,0.004,0.0054,0.0026,0.0002883842534131,6.374561515827164e-10,30757,29243,0,1514,0.0823612521436304,0.006783375749663288
128,64,238.34578009384333,39.90751653698997,0.00439453125,0.00732421875,0.00146484375,0.0002218226419547,1.8575007892993408e-06,30584,29416,0,1168,0.08168677046686372,0.006672425006275154
129,64,313.7637463583261,37.18866163803872,0.0071999999999999,0.0116,0.0028,0.0002553783234537,0.0094190111161833,30318,29682,0,636,0.08097985816398397,0.005120954830198721
130,65,271.9780273965405,359.76823556323126,0.0021999999999999,0.0044,0.0,0.0002079426842358,8.191685655953518e-09,30706,29294,0,1412,0.0820569767260838,0.006733346085055207
131,65,304.50386780018,432.5222714321606,0.014892578125,0.0126953125,0.01708984375,0.0001595588062125,2.070230987215575e-07,30636,29364,0,1272,0.08366184286417286,0.006999269311604501
132,66,273.12710655528247,87.8284766062824,0.0163999999999999,0.0162,0.0166,0.0013313433024483,7.804330620283702e-09,30707,29293,0,1414,0.08275722225089965,0.006848756542955413
133,66,368.5414334641853,100.39722573991445,0.016357421875,0.0146484375,0.01806640625,0.001581173670396,0.4003527083989437,29897,30103,1,206,0.08341420223839106,0.10045001668728266
134,67,245.1382465075397,73.908107136938,0.0139,0.0202,0.0076,0.0004491330035967,2.745157572300923e-29,31376,28624,0,2752,0.07999208206005275,0.0063987331923022125
135,67,270.23254829586847,84.09293131745733,0.009765625,0.0078125,0.01171875,0.0001996132772816,3.906617328839663e-08,30673,29327,0,1346,0.08367956689242903,0.00700226337722511
136,68,364.7503753481034,95.14978908555318,0.017578125,0.0205078125,0.0146484375,0.0002094703105392,3.802088101606245e-07,30622,29378,0,1244,0.0813682956992828,0.006620737671264699
137,68,247.84393006546088,89.17377512254086,0.0152999999999999,0.014,0.0166,0.0002413384242235,1.5156217017772135e-06,30589,29411,0,1178,0.08326196187070484,0.006932301909583127
