Unnamed:_0,Qubit,T1_us,T2_us,Readout_assignment_error_,Prob_meas0_prep1_,Prob_meas1_prep0_,_x_sx_error_,P_Value,Zero,One,Quality,abs,P_Value_pred,RSE
66,33,220.73033213712145,138.15604866387386,0.0157,0.023,0.0084,0.0006536185354247,2.3677239024585056e-44,31711,28289,0,3422,0.14219342381066175,0.020218969774998468
67,33,260.99290474339494,130.71509707998823,0.019775390625,0.0087890625,0.03076171875,0.0001634929853537,0.0043777948971026,29651,30349,0,698,0.13881981229566467,0.018074656042195266
68,34,220.17534149130623,165.31414586587553,0.0439,0.0286,0.0592,0.0002477562506179,0.0957825432836284,30204,29796,1,408,0.11728567633404455,0.0004623847309838994
69,34,317.53349157381024,146.15783933615776,0.03271484375,0.03076171875,0.03466796875,0.0001668462671431,2.5158268914427473e-09,29270,30730,0,1460,0.12729169867716522,0.01620317591163048
70,35,247.77640359741304,158.97399002667245,0.0161999999999999,0.0156,0.0168,0.000201851707169,0.0001727305029681,29540,30460,0,920,0.14198464943120073,0.020110620350107626
71,35,316.3074967024734,162.78309672726076,0.015380859375,0.01123046875,0.01953125,0.0002137411655768,1.6204695160007836e-23,28776,31224,0,2448,0.14270810576029405,0.020365603449691273
72,36,137.6752875519037,199.1870372830564,0.0234999999999999,0.0122,0.0348,0.0001942662132049,0.0864107329737,29790,30210,1,420,0.13548584316538248,0.0024083664403257775
73,36,314.3919119961733,321.6621525939768,0.01171875,0.0107421875,0.0126953125,0.0001541707803795,0.0020262533159349,29622,30378,0,756,0.1460014834687217,0.020728866897547927
74,37,163.87786768234994,111.51958587534926,0.014,0.008,0.02,0.0001591393024009,0.3113201889635704,29876,30124,1,248,0.14396676257571928,0.0280071693237539
75,37,218.94861274492885,115.3501760778438,0.009521484375,0.00927734375,0.009765625,0.0002041424106492,0.0247446720463989,29725,30275,1,550,0.1479326158295558,0.015175269493522223
76,38,180.6057853386509,125.70839750543348,0.0207,0.0206,0.0208,0.0002537688304751,0.0002385634540287,30450,29550,0,900,0.13794889426110435,0.018964135210994208
77,38,361.1224902313194,148.7370245801475,0.016845703125,0.02001953125,0.013671875,0.0001686289197716,0.4049425798656493,30102,29898,1,204,0.14142686352183884,0.06944053276019156
78,39,197.5799002990383,122.65697825828302,0.0537109375,0.07666015625,0.03076171875,0.0005978562129862,3.6044650558109e-05,29494,30506,0,1012,0.10836280326061619,0.011734686630961793
79,39,326.04710546743013,116.96129348926732,0.0631,0.015,0.1112,0.0002295790966674,3.5344617998507174e-53,28120,31880,0,3760,0.10019199658046118,0.010038436178779146
80,40,260.39794013471175,29.96169074861419,0.0121,0.0118,0.0124,0.0001553159094285,0.0011890601080095,29603,30397,0,794,0.14566126935508314,0.020872219244730227
81,40,148.6326259388869,27.48317491569151,0.01513671875,0.02001953125,0.01025390625,0.000303750120587,0.743971478075057,30040,29960,1,80,0.14287844029826344,0.36131284006373376
82,41,222.75931420476184,311.1431416381917,0.00732421875,0.00634765625,0.00830078125,0.0004842596519683,1.2013836213975172e-14,29055,30945,0,1890,0.14974320505180339,0.022423027459182836
83,41,139.644259078749,135.19879067306215,0.0111999999999999,0.0176,0.0048,0.0002681654857437,0.3191890116988928,30122,29878,1,244,0.14640387476232558,0.029854703546188285
84,42,214.9839375095677,151.4920110662227,0.011962890625,0.01171875,0.01220703125,0.0001579255091859,0.373475941597332,29891,30109,1,218,0.14578203841901516,0.05184451354457672
85,42,262.057206173568,147.05548105977508,0.0082999999999999,0.0076,0.009,0.0001673448393004,0.0072253863565208,29671,30329,0,658,0.14903997738363958,0.020111378228188957
86,43,344.95093936790244,259.41524596689703,0.036,0.0106,0.0614,0.0002940613306225,1.882059442439565e-05,29476,30524,0,1048,0.12429867749264403,0.01544548283064195
87,43,331.7402607251488,128.1248826335814,0.015380859375,0.015625,0.01513671875,0.0002835212679403,8.502101111638023e-07,29397,30603,0,1206,0.14267155710524287,0.02035493060595658
88,44,308.66405778441754,19.15563144479496,0.026123046875,0.0107421875,0.04150390625,0.0002837085934998,0.1998778570618575,29843,30157,1,314,0.13310240766859024,0.004458960641672798
89,44,274.83280061623645,20.989648502944377,0.0178,0.018,0.0176,0.0006335972692559,0.1701524086918297,30168,29832,1,336,0.14033324778745418,0.0008891823570410381
90,45,102.98731307735318,21.88068915250893,0.060546875,0.0576171875,0.0634765625,0.0005042727290379,0.0116366860458651,30309,29691,1,618,0.10232242309385506,0.008223902903937179
