Unnamed:_0,Qubit,T1_us,T2_us,Readout_assignment_error_,Prob_meas0_prep1_,Prob_meas1_prep0_,x_sx_error_,P_Value,Zero,One,Quality,abs,abs_pred,RSE
58,29,263.4147997986309,183.5994925204549,0.0128,0.0144,0.0112,0.0002398904963465,0.2380002149104014,19882,20118,1,236,704,219024
59,29,370.3552342447836,291.9396826793077,0.013427734375,0.01611328125,0.0107421875,0.0001324387905479,0.0078140651497055,20266,19734,0,532,721,35721
60,30,241.1891709937709,127.16372945099214,0.0647999999999999,0.0766,0.053,0.0016334954345116,2.245198370872348e-06,20473,19527,0,946,2017,1147041
61,30,261.38301339728554,136.0188136677001,0.080078125,0.076171875,0.083984375,0.0008176402826895,6.631491956652328e-09,19420,20580,0,1160,2410,1562500
62,31,348.4274771920665,163.21716314057332,0.0147,0.0178,0.0116,0.0003144129240637,5.577685288112788e-05,20403,19597,0,806,752,2916
63,31,329.44374555262414,149.60927895829292,0.009521484375,0.01611328125,0.0029296875,0.0006914961450172,0.0423565392853445,20203,19797,1,406,619,45369
64,32,320.63676515264206,105.41346912633394,0.04248046875,0.0439453125,0.041015625,0.0001690132228895,0.0027897744709845,19701,20299,0,598,1458,739600
65,32,316.32686993921106,98.36629237799556,0.0191999999999999,0.029,0.0094,0.0001395752559647,5.753708347208666e-11,19345,20655,0,1310,867,196249
66,33,391.2205240158313,260.77675377180896,0.002197265625,0.00244140625,0.001953125,0.0001092971398293,4.131501382509357e-05,19590,20410,0,820,436,147456
67,33,47.0730869763941,74.60216696582914,0.0102999999999999,0.0186,0.002,0.0012668643440829,8.200333486674704e-27,21072,18928,0,2144,635,2277081
68,34,365.1162427283113,171.38030866925735,0.011962890625,0.01123046875,0.0126953125,0.0002365012759284,0.0574331196320036,20190,19810,1,380,683,91809
69,34,289.6564024064034,170.22587624431435,0.0081999999999999,0.0108,0.0056,0.0002074921388124,0.0029779974904749,20297,19703,0,594,588,36
70,35,309.52736654464366,66.3952596693868,0.00927734375,0.01123046875,0.00732421875,0.0003072093656103,0.0008377838989007,20334,19666,0,668,614,2916
71,35,224.47899633983272,90.4117205150513,0.0047,0.0068,0.0026,0.0004795003714824,0.1835182713005616,20133,19867,1,266,497,53361
72,36,345.941238680082,189.7702843783929,0.008544921875,0.01171875,0.00537109375,0.0002181763292606,0.0007516818368001,20337,19663,0,674,596,6084
73,36,248.62917811114443,135.91729983733694,0.0542,0.1064,0.002,0.0010665990175653,2.245198370872348e-06,20473,19527,0,946,1751,648025
74,37,420.7135575419307,245.14258469459392,0.02734375,0.0185546875,0.0361328125,0.0013922170531645,2.2449267182656108e-20,20925,19075,0,1850,1067,613089
75,37,453.0573327835605,276.8250752135915,0.0164999999999999,0.0206,0.0124,0.0022196890940346,1.700501643095016e-08,20564,19436,0,1128,788,115600
76,38,491.32913577783,345.664716122354,0.0087890625,0.01025390625,0.00732421875,0.0009704633228652,0.0006262113571624,19658,20342,0,684,599,7225
77,38,471.4830500122439,340.7177787536795,0.0116,0.0176,0.0056,0.0013672065693721,3.4840917806893244e-06,20464,19536,0,928,668,67600
