Qubit,T1 (us),T2 (us),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,√x (sx) error ,P_Value,Zero,One,Quality
30,241.1891709937709,127.16372945099214,0.0647999999999999,0.0766,0.053,0.0016334954345116,4.822134315143435e-06,30560,29440,0
31,348.4274771920665,163.21716314057332,0.0147,0.0178,0.0116,0.0003144129240637,0.0252732300978455,30274,29726,1
32,316.32686993921106,98.36629237799556,0.0191999999999999,0.029,0.0094,0.0001395752559647,7.419161552674042e-08,29341,30659,0
33,47.0730869763941,74.60216696582914,0.0102999999999999,0.0186,0.002,0.0012668643440829,1.1943373234096032e-47,31776,28224,0
34,289.6564024064034,170.22587624431435,0.0081999999999999,0.0108,0.0056,0.0002074921388124,0.0195340079215622,30286,29714,1
35,224.47899633983272,90.4117205150513,0.0047,0.0068,0.0026,0.0004795003714824,0.0127630075326412,30305,29695,1
36,248.62917811114443,135.91729983733694,0.0542,0.1064,0.002,0.0010665990175653,1.3897149330501726e-08,30695,29305,0
37,453.0573327835605,276.8250752135915,0.0164999999999999,0.0206,0.0124,0.0022196890940346,7.183276554194778e-15,30953,29047,0
38,471.4830500122439,340.7177787536795,0.0116,0.0176,0.0056,0.0013672065693721,9.606644069466863e-28,31337,28663,0
39,479.4938591258113,59.70017862709077,0.0053999999999999,0.008,0.0028,0.0009304982638291,3.934106250544041e-09,29279,30721,0
40,383.02857490914784,30.514822129904285,0.0057,0.0078,0.0036,0.0002337033562573,0.0011227105875083,30399,29601,0
41,291.4894407662841,466.0764009444199,0.008,0.0136,0.0024,9.25694630195e-05,1.1463448286885588e-12,30871,29129,0
42,205.4471863214168,82.25441035769879,0.0031999999999999,0.0054,0.001,0.000159784669073,0.0005362857343913,30424,29576,0
43,296.5571325974068,185.69372920013052,0.005,0.0082,0.0018,0.000200214286542,2.4291107368959652e-05,30517,29483,0
44,40.8672850153776,47.17494507706752,0.0724,0.1108,0.034,0.0007281440743607,1.0348557412018768e-157,33277,26723,0
45,259.9404817933517,106.77627857432144,0.0028,0.005,0.0006,0.0002106559414299,1.3000792601586315e-05,30534,29466,0
46,402.5889666546907,54.21561836444542,0.0080999999999999,0.0144,0.0018,0.0015583019958972,0.0001418763546292,30466,29534,0
47,352.1670927515764,118.86781989218264,0.0256999999999999,0.038,0.0134,0.0023504998384085,1.358997296382712e-90,32472,27528,0
48,277.1079513657119,83.5146618473864,0.0059,0.0116,0.0002,0.000327616582212,3.517415957494632e-15,30964,29036,0
49,75.74210716475224,70.49181483833824,0.024,0.0382,0.0098,0.0006387194828518,1.1544451285357586e-36,31549,28451,0
50,284.2040759075488,93.2450733831118,0.007,0.0086,0.0054,0.0001492907456387,1.7361180256593384e-07,30640,29360,0
51,257.80816089543686,70.28682559650808,0.0611,0.0636,0.0586,0.0002059141647595,9.430663987779013e-31,31412,28588,0
52,318.9619849940503,39.45160759764023,0.1062999999999999,0.1022,0.1104,0.0006265670669034,1.3494633471840448e-05,30533,29467,0
