Unnamed:_0,Qubit,T1_us,T2_us,Readout_assignment_error_,Prob_meas0_prep1_,Prob_meas1_prep0_,_x_sx_error_,P_Value,Zero,One,Quality,abs,P_Value_pred,RSE
48,24,230.8487331982512,119.6171321492539,0.12548828125,0.01416015625,0.23681640625,0.0001558721660167,4.6e-322,7287,12713,0,5426,0.107806373117663,0.011622214084784772
49,24,224.8677845874205,107.52780857420278,0.138,0.0298,0.2462,0.0002037669930192,1.5158744068152418e-165,8061,11939,0,3878,0.10044531931472817,0.010089262172237703
50,25,106.40240101992632,137.45164129792326,0.0101999999999999,0.0084,0.012,0.0003636490316071,0.4795001221869535,9950,10050,1,100,0.19676919431680484,0.0799367775743152
51,25,215.4356220836172,178.22225809635287,0.02099609375,0.00390625,0.0380859375,0.0001488790791938,6.579156048320724e-15,9449,10551,0,1102,0.17678971100124197,0.03125460191590033
52,26,229.8920280055933,150.69124569939885,0.0087,0.0052,0.0122,0.0002235953334198,1.612887893377391e-19,9361,10639,0,1278,0.1828554654861147,0.033436121258143686
53,26,228.94403018509547,17.493510576837703,0.030029296875,0.04736328125,0.0126953125,0.0017859892335793,0.0011431765973566,10230,9770,0,460,0.16776070748236008,0.027761401598215087
54,27,310.21216809647814,216.5901852580537,0.0721,0.0304,0.1138,0.000150915278777,0.1338564133648919,9894,10106,1,212,0.133462490657377,1.551750994958685e-07
55,27,326.91858935625186,227.6277868179083,0.064208984375,0.08984375,0.03857421875,0.0001470913716844,0.0004292878677339,10249,9751,0,498,0.1369398404577535,0.018635130968432508
56,28,225.45173929366408,100.80527155061424,0.043212890625,0.01123046875,0.0751953125,0.0004131080085591,1.7413385028901723e-34,9134,10866,0,1732,0.1610432637173041,0.025934932788721155
57,28,126.40760417134015,55.672504651627385,0.0419,0.01,0.0738,0.0010163964042193,2.404816236191617e-27,9234,10766,0,1532,0.17366766950387486,0.030160459430907106
58,29,330.0988703062876,295.2070706019093,0.0185546875,0.02490234375,0.01220703125,0.0001988376610223,7.501319466545911e-05,9720,10280,0,560,0.1659134676130298,0.027502392963871906
59,29,256.4800696912566,203.81273590678435,0.0363,0.0124,0.0602,0.0001773222568844,0.0403049743625407,9855,10145,1,290,0.16208041805663653,0.014829258686893904
60,30,451.54306417141504,64.82208370954781,0.009765625,0.01025390625,0.00927734375,0.0003115184437534,0.5431133054504598,10043,9957,1,86,0.16196381205520366,0.14527493631546037
61,30,204.3786849105484,68.35317153754441,0.0074999999999999,0.0076,0.0074,0.0001920389571397,0.0078437772447063,9812,10188,0,376,0.18679048075902627,0.03202192269864193
62,31,83.55821541336894,60.4872428282716,0.00830078125,0.00830078125,0.00830078125,0.0015168449695105,0.0085275116643604,9814,10186,0,372,0.19870836799362698,0.03616875811413314
63,31,201.34167046633223,55.79580215746857,0.0069,0.0078,0.006,0.0002681767619568,0.8430529669371443,10014,9986,1,28,0.18748394894877018,0.42977073734624116
64,32,274.925978146232,368.4998148193293,0.0122999999999999,0.0096,0.015,0.0001288425761862,0.0639368772268005,9869,10131,1,262,0.17550700512615877,0.012447893439479163
65,32,199.16315807280392,229.88400733265004,0.015625,0.0126953125,0.0185546875,0.0001504423360221,0.0133283287808175,9825,10175,1,350,0.1822695392144718,0.02854113258278827
66,33,220.73033213712145,138.15604866387386,0.0157,0.023,0.0084,0.0006536185354247,1.2299393394672735e-06,10343,9657,0,686,0.17905297797339217,0.0320595284740499
67,33,260.99290474339494,130.71509707998823,0.019775390625,0.0087890625,0.03076171875,0.0001634929853537,0.9887165844441504,9999,10001,1,2,0.17219948129254342,0.666700179739092
68,34,220.17534149130623,165.31414586587553,0.0439,0.0286,0.0592,0.0002477562506179,0.0037419039555431,9795,10205,0,410,0.1614036317690784,0.02485722041714929
69,34,317.53349157381024,146.15783933615776,0.03271484375,0.03076171875,0.03466796875,0.0001668462671431,6.07980783992944e-08,9617,10383,0,766,0.15803198087979173,0.024974087764713028
70,35,247.77640359741304,158.97399002667245,0.0161999999999999,0.0156,0.0168,0.000201851707169,0.1009037971202879,9884,10116,1,232,0.17595698837755924,0.005632981517900553
