Unnamed:_0,Qubit,T1_us,T2_us,Readout_assignment_error_,Prob_meas0_prep1_,Prob_meas1_prep0_,x_sx_error_,P_Value,Zero,One,Quality,abs,abs_pred,RSE
57,28,225.45173929366408,100.80527155061424,0.043212890625,0.01123046875,0.0751953125,0.0004131080085591,1.4058086301135133e-56,18415,21585,0,3170,2023,1315609
58,29,256.4800696912566,203.81273590678435,0.0363,0.0124,0.0602,0.0001773222568844,0.1835182713005616,19867,20133,1,266,1689,2024929
59,29,330.0988703062876,295.2070706019093,0.0185546875,0.02490234375,0.01220703125,0.0001988376610223,3.788723990110659e-05,19588,20412,0,824,716,11664
60,30,204.3786849105484,68.35317153754441,0.0074999999999999,0.0076,0.0074,0.0001920389571397,0.368120250693519,20090,19910,1,180,411,53361
61,30,451.54306417141504,64.82208370954781,0.009765625,0.01025390625,0.00927734375,0.0003115184437534,0.4412998926852992,19923,20077,1,154,484,108900
62,31,201.34167046633223,55.79580215746857,0.0069,0.0078,0.006,0.0002681767619568,0.0041047179898795,20287,19713,0,574,381,37249
63,31,83.55821541336894,60.4872428282716,0.00830078125,0.00830078125,0.00830078125,0.0015168449695105,0.1336144025377161,19850,20150,1,300,440,19600
64,32,199.16315807280392,229.88400733265004,0.015625,0.0126953125,0.0185546875,0.0001504423360221,0.0250909228718931,19776,20224,1,448,727,77841
65,32,274.925978146232,368.4998148193293,0.0122999999999999,0.0096,0.015,0.0001288425761862,0.0375255328698755,20208,19792,1,416,610,37636
66,33,260.99290474339494,130.71509707998823,0.019775390625,0.0087890625,0.03076171875,0.0001634929853537,2.044269036796817e-05,19574,20426,0,852,966,12996
67,33,220.73033213712145,138.15604866387386,0.0157,0.023,0.0084,0.0006536185354247,1.8593308356679912e-14,20766,19234,0,1532,606,857476
68,34,317.53349157381024,146.15783933615776,0.03271484375,0.03076171875,0.03466796875,0.0001668462671431,2.877677276315184e-13,19270,20730,0,1460,1302,24964
69,34,220.17534149130623,165.31414586587553,0.0439,0.0286,0.0592,0.0002477562506179,0.0499957902964408,20196,19804,1,392,1846,2114116
70,35,316.3074967024734,162.78309672726076,0.015380859375,0.01123046875,0.01953125,0.0002137411655768,2.0355435828592522e-22,19026,20974,0,1948,733,1476225
71,35,247.77640359741304,158.97399002667245,0.0161999999999999,0.0156,0.0168,0.000201851707169,4.503570077705088e-05,19592,20408,0,816,718,9604
72,36,314.3919119961733,321.6621525939768,0.01171875,0.0107421875,0.0126953125,0.0001541707803795,0.0054358898454025,19722,20278,0,556,569,169
73,36,137.6752875519037,199.1870372830564,0.0234999999999999,0.0122,0.0348,0.0001942662132049,0.0030763904234761,19704,20296,0,592,1098,256036
74,37,218.94861274492885,115.3501760778438,0.009521484375,0.00927734375,0.009765625,0.0002041424106492,0.0455002638963584,19800,20200,1,400,485,7225
75,37,163.87786768234994,111.51958587534926,0.014,0.008,0.02,0.0001591393024009,0.0989429360672962,19835,20165,1,330,708,142884
76,38,361.1224902313194,148.7370245801475,0.016845703125,0.02001953125,0.013671875,0.0001686289197716,0.1118348050389388,20159,19841,1,318,695,142129
77,38,180.6057853386509,125.70839750543348,0.0207,0.0206,0.0208,0.0002537688304751,0.1936009691712207,20130,19870,1,260,867,368449
78,39,326.04710546743013,116.96129348926732,0.0631,0.015,0.1112,0.0002295790966674,3.343538091973007e-57,18406,21594,0,3188,2900,82944
79,39,197.5799002990383,122.65697825828302,0.0537109375,0.07666015625,0.03076171875,0.0005978562129862,4.398265760928501e-11,19341,20659,0,1318,1723,164025
80,40,148.6326259388869,27.48317491569151,0.01513671875,0.02001953125,0.01025390625,0.000303750120587,0.2584762244800357,19887,20113,1,226,616,152100
81,40,260.39794013471175,29.96169074861419,0.0121,0.0118,0.0124,0.0001553159094285,0.4777041361799735,19929,20071,1,142,574,186624
82,41,139.644259078749,135.19879067306215,0.0111999999999999,0.0176,0.0048,0.0002681654857437,0.9044831479588324,20012,19988,1,24,462,191844
83,41,222.75931420476184,311.1431416381917,0.00732421875,0.00634765625,0.00830078125,0.0004842596519683,8.924344907803225e-09,19425,20575,0,1150,418,535824
84,42,262.057206173568,147.05548105977508,0.0082999999999999,0.0076,0.009,0.0001673448393004,0.047703528683017,19802,20198,1,396,448,2704
85,42,214.9839375095677,151.4920110662227,0.011962890625,0.01171875,0.01220703125,0.0001579255091859,0.8571525681981986,19982,20018,1,36,569,284089
86,43,331.7402607251488,128.1248826335814,0.015380859375,0.015625,0.01513671875,0.0002835212679403,0.0001768345704016,19625,20375,0,750,680,4900
87,43,344.95093936790244,259.41524596689703,0.036,0.0106,0.0614,0.0002940613306225,5.646316074086531e-10,19380,20620,0,1240,1696,207936
88,44,274.83280061623645,20.989648502944377,0.0178,0.018,0.0176,0.0006335972692559,0.984043372566196,20002,19998,1,4,764,577600
89,44,308.66405778441754,19.15563144479496,0.026123046875,0.0107421875,0.04150390625,0.0002837085934998,0.2224648748956692,19878,20122,1,244,1237,986049
90,45,175.0572866534028,26.943689894687424,0.0504999999999999,0.04,0.061,0.000489863171324,9.80029173738195e-11,19353,20647,0,1294,2015,519841
91,45,102.98731307735318,21.88068915250893,0.060546875,0.0576171875,0.0634765625,0.0005042727290379,1.0825087815407715e-05,20440,19560,0,880,2269,1929321
92,46,290.24365676460724,250.49212523751825,0.016357421875,0.01904296875,0.013671875,0.0002822575388783,0.0019352064264367,20310,19690,0,620,684,4096
93,46,302.2657362102225,181.2055747783264,0.0247,0.0394,0.01,0.0004839145008253,0.000779424725164,20336,19664,0,672,826,23716
94,47,168.78483653232675,145.46043511231494,0.014404296875,0.0224609375,0.00634765625,0.0001752618252349,0.7039454151516744,20038,19962,1,76,553,227529
95,47,128.65172030773795,116.28837036719212,0.0113999999999999,0.0118,0.011,0.0002492082350824,0.1260167289279568,20153,19847,1,306,541,55225
96,48,16.76432751632367,41.18631939038451,0.014892578125,0.01806640625,0.01171875,0.0006335960413638,0.0548578994076736,19808,20192,1,384,628,59536
97,48,211.9676452337584,83.43121491310072,0.0157,0.015,0.0164,0.0002088411588674,0.8258711547035708,19978,20022,1,44,702,432964
98,49,368.45746620419743,58.91577968992095,0.0088,0.0086,0.009,0.0002395226980741,0.0001506472847573,20379,19621,0,758,459,89401
99,49,351.7357301442432,58.843242286468126,0.011962890625,0.01025390625,0.013671875,0.000352306215152,2.897421786050171e-07,19487,20513,0,1026,586,193600
100,50,323.15601260175265,40.52824889729639,0.0142999999999999,0.0146,0.014,0.0003802472579601,0.0001699133569959,20376,19624,0,752,642,12100
101,50,320.47543079154235,40.80047975091985,0.037841796875,0.05810546875,0.017578125,0.0004500099028258,1.700501643095016e-08,20564,19436,0,1128,1211,6889
102,51,266.97764859603586,263.9818411346945,0.0185999999999999,0.0282,0.009,0.0004440670652592,6.016421502393674e-10,20619,19381,0,1238,678,313600
103,51,242.8219176129084,248.64670153360203,0.03759765625,0.03759765625,0.03759765625,0.0001731565990265,0.0366177997033179,20209,19791,1,418,1446,1056784
104,52,133.03833632753395,124.86643338054108,0.0155999999999999,0.0142,0.017,0.0002321239600403,3.766461747173553e-23,19009,20991,0,1982,707,1625625
105,52,236.4157278483183,205.37631888169145,0.0146484375,0.0166015625,0.0126953125,0.0001779661316809,1.1712033413096968e-13,20742,19258,0,1484,634,722500
106,53,259.5979178647079,285.1372214832216,0.019287109375,0.0107421875,0.02783203125,0.0002059268970075,1.448458341027531e-09,19395,20605,0,1210,920,84100
107,53,98.69109651084143,192.79688703800105,0.1247,0.1752,0.0742,0.0016294278843945,0.0,25647,14353,0,11294,3829,55726225
108,54,250.42518869989163,148.61881978928722,0.015869140625,0.0166015625,0.01513671875,0.0002737785011681,0.5485062355001472,19940,20060,1,120,691,326041
109,54,246.30607705839176,115.96313056693208,0.0154999999999999,0.0146,0.0164,0.0003097778407972,0.023207583043807,20227,19773,1,454,698,59536
110,55,242.89624900693187,117.34509831481432,0.0108,0.0134,0.0082,0.000264318513348,0.2713321218927653,20110,19890,1,220,494,75076
111,55,272.23355106684454,122.7113971308805,0.013671875,0.009765625,0.017578125,0.0002336246124248,0.0019352064264367,19690,20310,0,620,671,2601
112,56,225.2430920871339,119.11044454207914,0.022216796875,0.01318359375,0.03125,0.0004014664958619,7.1223173591951136e-06,20449,19551,0,898,1026,16384
113,56,287.32106882090744,146.52395276996384,0.0158,0.0132,0.0184,0.0001804942543718,2.443023185050612e-05,20422,19578,0,844,729,13225
114,57,241.6969392783784,159.29958001052495,0.01318359375,0.01513671875,0.01123046875,0.0003248654598372,2.2313762028343404e-09,20598,19402,0,1196,584,374544
115,57,280.2454271935827,150.9200955507388,0.0127,0.0152,0.0102,0.0001999176383937,4.701313773719112e-05,20407,19593,0,814,561,64009
