"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"10","296.817946413255","84.01668052014429","4.6283625421144166","","0.0047000000000000375","0.006","0.0034","1244.4444444444443","0.00016953200613179366","0","0.00016953200613179366","0.00016953200613179366","10_9:0.010725230088587723;10_11:0.017162453277651257","10_9:561.7777777777777;10_11:561.7777777777777","true"
"11","145.4709866714758","179.56092974156167","4.571519528616697","-0.31187801080194943","0.019499999999999962","0.0178","0.0212","1244.4444444444443","0.0007792412915607196","0","0.0007792412915607196","0.0007792412915607196","11_12:0.01356450010306326","11_12:561.7777777777777","true"
"12","420.33390769848813","320.3019685662814","4.464324631267199","-0.3114335997689411","0.019399999999999973","0.0164","0.0224","1244.4444444444443","0.000300924849345931","0","0.000300924849345931","0.000300924849345931","","","true"
"13","269.3716591911651","86.06568861150538","4.573357676775516","","0.023499999999999965","0.0324","0.0146","1244.4444444444443","0.00017181973350383097","0","0.00017181973350383097","0.00017181973350383097","13_12:0.0067977060511740794","13_12:561.7777777777777","true"
"14","381.364641319099","353.08039047033486","4.60398829793049","-0.3075149117337717","0.0042999999999999705","0.0058","0.0028","1244.4444444444443","0.00009862439162071488","0","0.00009862439162071488","0.00009862439162071488","14_18:0.005709415578532856","14_18:561.7777777777777","true"
"15","351.40390800435887","66.71791674174106","4.496024266232917","-0.3235838974181829","0.05379999999999996","0.0594","0.0482","1244.4444444444443","0.000593317351362701","0","0.000593317351362701","0.000593317351362701","","","true"
"16","321.5433335740062","110.69141580900485","4.513219726754365","-0.31250997509736017","0.014399999999999968","0.0258","0.003","1244.4444444444443","0.00016776390835682178","0","0.00016776390835682178","0.00016776390835682178","16_8:0.009184592673516984","16_8:561.7777777777777","true"
"17","319.23929768270386","53.07364689001495","4.675803399683519","-0.3222371456169295","0.08409999999999995","0.0684","0.0998","1244.4444444444443","0.0009645795234531084","0","0.0009645795234531084","0.0009645795234531084","17_12:0.053335783956152516;17_30:0.02820843057377881","17_12:561.7777777777777;17_30:561.7777777777777","true"
"18","253.64926408586183","46.74275835758955","4.514794861811998","-0.32147907217387134","0.0040000000000000036","0.0056","0.0024","1244.4444444444443","0.00018653337125930873","0","0.00018653337125930873","0.00018653337125930873","","","true"
"19","377.9497975617496","248.63158659548463","4.444142513719736","-0.3142519677447134","0.024900000000000033","0.0328","0.017","1244.4444444444443","0.00023050682386742334","0","0.00023050682386742334","0.00023050682386742334","19_18:0.007044763401374332","19_18:561.7777777777777","true"
"20","499.33639789182257","482.88785444354556","4.341295831111716","-0.31659680563840864","0.038000000000000034","0.0656","0.0104","1244.4444444444443","0.0001311830987886607","0","0.0001311830987886607","0.0001311830987886607","20_19:0.005854998669391626","20_19:561.7777777777777","true"
"21","245.21169798908497","184.49806855661336","4.485179359421398","-0.3137510643214938","0.018100000000000005","0.015","0.0212","1244.4444444444443","0.0010471091820151573","0","0.0010471091820151573","0.0010471091820151573","21_20:0.013372945991663776;21_22:0.009788318090743126","21_20:561.7777777777777;21_22:561.7777777777777","true"
"22","278.23988086420997","193.66022799336963","4.382948954374403","-0.3235699465364606","0.013700000000000045","0.0194","0.008","1244.4444444444443","0.0004911670884429599","0","0.0004911670884429599","0.0004911670884429599","22_23:0.023025884375311972;22_15:0.025259950947052218","22_23:561.7777777777777;22_15:561.7777777777777","true"
