"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"10","362.2952834896347","239.40310009159614","4.831534448410197","-0.3097434424405673","0.015100000000000002","0.01","0.0202","1300","0.00010220182572824689","0","0.00010220182572824689","0.00010220182572824689","10_9:0.00417653447062849;10_11:0.005756759665824063","10_9:660;10_11:660","true"
"11","201.47529363302263","229.8989973408266","4.972305689737398","-0.307214316560019","0.1441","0.1258","0.1624","1300","0.00026378522451372515","0","0.00026378522451372515","0.00026378522451372515","11_12:0.008296221368922857","11_12:660","true"
"12","236.5857128954933","161.04445122616264","4.936319107472835","-0.3079608272575031","0.014499999999999957","0.0132","0.0158","1300","0.00019665173426732988","0","0.00019665173426732988","0.00019665173426732988","12_17:0.005541346390726093","12_17:660","true"
"13","367.62895968558877","129.38116092632035","5.005809502119509","-0.3067650398842775","0.02100000000000002","0.0188","0.0232","1300","0.00017418290337625983","0","0.00017418290337625983","0.00017418290337625983","13_12:0.005848592872884445","13_12:660","true"
"14","187.05082065819923","117.10206255311776","4.903344760967439","-0.308419961199297","0.01649999999999996","0.0146","0.0184","1300","0.00014084248560352347","0","0.00014084248560352347","0.00014084248560352347","14_0:0.0059700889391055;14_18:0.008579323973121306","14_0:660;14_18:660","true"
"15","134.99003243534105","30.72728187850089","4.947914953560998","-0.308052427832017","0.008099999999999996","0.0108","0.0054","1300","0.0007034664969720416","0","0.0007034664969720416","0.0007034664969720416","15_22:0.008031307231256973","15_22:660","true"
"16","148.275781264609","18.801960082170215","4.9603281019871295","-0.3076594514774509","0.017199999999999993","0.0186","0.0158","1300","0.00025291201679483917","0","0.00025291201679483917","0.00025291201679483917","16_8:0.004808330219020329;16_26:0.0055362266907493796","16_8:660;16_26:660","true"
"17","342.06517625741174","352.68055275755825","4.820823460371974","-0.30970435909943395","0.01539999999999997","0.0192","0.0116","1300","0.0001309090041730009","0","0.0001309090041730009","0.0001309090041730009","17_30:0.005145197871454704","17_30:660","true"
"18","237.48670125926895","99.25478719443325","4.788139278987067","-0.31063598977187784","0.10499999999999998","0.1026","0.1074","1300","0.0002277523337247403","0","0.0002277523337247403","0.0002277523337247403","18_19:0.003720286721341004","18_19:660","true"
"19","250.38800283922544","106.50686691929663","4.7469924322616","-0.31072395279331844","0.08360000000000001","0.084","0.0832","1300","0.00014601165813383701","0","0.00014601165813383701","0.00014601165813383701","","","true"
"20","348.90597566130697","298.3332866176694","4.862313786651259","-0.3090978906556921","0.02059999999999995","0.0106","0.0306","1300","0.0001362529865693625","0","0.0001362529865693625","0.0001362529865693625","20_33:0.0062482206597679335;20_19:0.0039179688208091645","20_33:660;20_19:660","true"
"21","314.6772261355906","148.48086952810115","4.9664950331928335","-0.30694839478531033","0.006900000000000017","0.0074","0.0064","1300","0.0001703045022685083","0","0.0001703045022685083","0.0001703045022685083","21_20:0.004183755485581725;21_22:0.005624467006621614","21_20:660;21_22:660","true"
"22","257.02443174527474","171.94281021723154","5.038197876457438","-0.3065535436677073","0.010199999999999987","0.0128","0.0076","1300","0.00014496222270631267","0","0.00014496222270631267","0.00014496222270631267","22_23:0.00577924563933932","22_23:660","true"
"23","251.3557590510598","261.44381322722074","4.844974504703859","-0.309395699354676","0.018100000000000005","0.0094","0.0268","1300","0.00016497009248850076","0","0.00016497009248850076","0.00016497009248850076","","","true"
"24","224.86778458742052","107.52780857420278","5.100790397005483","-0.3054983979252499","0.138","0.0298","0.2462","1300","0.00020376699301925322","0","0.00020376699301925322","0.00020376699301925322","24_23:0.005523837818971311;24_34:0.15347793756649739","24_23:660;24_34:660","true"
"25","106.40240101992632","137.45164129792326","4.945232228281061","-0.3084275156167526","0.010199999999999987","0.0084","0.012","1300","0.00036364903160718786","0","0.00036364903160718786","0.00036364903160718786","25_24:0.00550534949714615","25_24:660","true"
"26","229.8920280055933","150.69124569939885","4.854079644904046","-0.30976922795032275","0.008700000000000041","0.0052","0.0122","1300","0.00022359533341985506","0","0.00022359533341985506","0.00022359533341985506","26_25:0.010829560073530947","26_25:660","true"
