Qubit,T1_us,T2_us,Frequency_GHz,Readout_assignment_error_,Prob_meas0_prep1_,Prob_meas1_prep0_,ID_error_,One,One_pred,RSE
68,183.5761811924717,27.59322738610524,4.743740530568414,0.143310546875,0.2578125,0.02880859375,0.0001669957264582,526,1053,277729
69,192.9103925264613,133.2543025889358,5.117674292535083,0.012939453125,0.01220703125,0.013671875,0.0002372801545265,243,177,4356
70,227.77890493156303,195.77434296190333,4.89885525734179,0.077392578125,0.0625,0.09228515625,0.0001423536797473,1398,730,446224
71,207.298550464501,292.34560065053523,4.78826581679657,0.01220703125,0.01171875,0.0126953125,0.0001674201814919,149,164,225
72,254.450087473574,154.85624563150367,5.059185496860154,0.016845703125,0.013671875,0.02001953125,0.0001523912295274,254,224,900
73,226.26551623073163,188.55840448784912,4.979583186134598,0.015869140625,0.009765625,0.02197265625,0.0001992982124936,167,230,3969
74,154.85073417830372,92.74777181967973,5.031459650777392,0.01318359375,0.01123046875,0.01513671875,0.000242206366128,172,192,400
75,238.7494357993793,28.12770443306369,5.00605996602745,0.011474609375,0.01123046875,0.01171875,0.0002329682299604,155,149,36
76,263.74397327636154,95.79259618335958,4.837429938256509,0.010498046875,0.00927734375,0.01171875,0.0001803945019518,170,137,1089
77,60.56871397858621,59.05940560358328,5.041930182418608,0.031982421875,0.0146484375,0.04931640625,0.0002040762237497,750,375,140625
78,136.81561670024473,222.8582285019836,4.643403410229718,0.015380859375,0.01220703125,0.0185546875,0.0001869507816945,201,226,625
79,223.00050197114828,76.44451373970206,4.863174043616778,0.01123046875,0.0126953125,0.009765625,0.0002200734883359,138,140,4
80,238.8443536875099,326.5464593744437,5.031451486601997,0.0234375,0.0224609375,0.0244140625,0.0001010711650764,478,292,34596
81,224.2667174919357,209.402736490496,4.930437724986329,0.03955078125,0.037109375,0.0419921875,0.0001392633103543,885,458,182329
82,203.69821314734972,289.3873523146318,4.893628739353972,0.041015625,0.05712890625,0.02490234375,0.0002587541658294,498,415,6889
83,208.95709374019657,48.99482779873459,4.790691328756312,0.024169921875,0.01513671875,0.033203125,0.0002454299202858,432,333,9801
84,268.15073894278925,163.67274461331002,4.679688727307656,0.009765625,0.0107421875,0.0087890625,0.0001825199401104,127,117,100
85,317.58017257769774,278.0342383878511,5.104782070770418,0.013916015625,0.0107421875,0.01708984375,0.0002222820082782,123,180,3249
86,237.7204080529393,165.38459925392377,4.898813830538599,0.043212890625,0.03125,0.05517578125,0.0002269873124743,892,529,131769
87,80.77215805565244,103.0075739209731,4.992086783452558,0.02197265625,0.03125,0.0126953125,0.0022033177930275,258,264,36
88,215.3063321397984,151.3590328677911,5.099371870198265,0.009765625,0.0126953125,0.0068359375,0.0002506075118274,147,116,961
89,226.4697706705313,159.07330355437304,4.956490368319185,0.019287109375,0.01708984375,0.021484375,0.0001850880807482,297,252,2025
90,238.32669441931785,31.58258712436783,4.905598190825327,0.011474609375,0.00927734375,0.013671875,0.0004255368320766,135,158,529
91,108.04880526007496,124.52324444704594,4.9146504820666665,0.0439453125,0.07568359375,0.01220703125,0.0050032157886574,245,438,37249
92,202.0517942079916,135.33354336767664,4.912100304124277,0.0078125,0.005859375,0.009765625,0.0002383708167999,176,117,3481
93,166.37660122401425,78.6104228216916,4.964120905981873,0.03173828125,0.0341796875,0.029296875,0.000437596445684,457,364,8649
94,175.77467499960056,105.40093679849063,4.975880681305636,0.016845703125,0.01123046875,0.0224609375,0.000501486071708,341,247,8836
95,278.37997815974927,144.74369740591015,4.838915459034274,0.02099609375,0.03515625,0.0068359375,0.0033415746840282,165,191,676
96,292.471843220834,48.61818026036055,4.747920344264782,0.045166015625,0.04443359375,0.0458984375,0.0002219688301265,971,548,178929
97,203.8421120489532,105.34072246599295,4.816155095575758,0.010498046875,0.00634765625,0.0146484375,0.0002519354036554,245,161,7056
98,156.93108723076614,85.16814680594456,4.942860992099829,0.01416015625,0.0185546875,0.009765625,0.001187827759302,192,176,256
99,234.06950438912864,318.88129073857,5.06011842112479,0.017578125,0.0087890625,0.0263671875,0.0001399842847837,342,261,6561
100,217.2535303872481,156.77765214914996,4.905358283879631,0.010986328125,0.01416015625,0.0078125,0.0002212217127035,183,130,2809
101,59.61766767123973,283.68795461856644,5.065353602408422,0.025390625,0.01611328125,0.03466796875,0.0010122711657394,702,337,133225
102,57.55329942204007,238.8600232155172,4.809695259611508,0.0390625,0.03466796875,0.04345703125,0.0001946952355685,730,386,118336
103,273.9068438674155,77.45738217914536,4.9334450457823165,0.01025390625,0.00927734375,0.01123046875,0.0002132991604908,105,132,729
104,154.17823063754278,156.32270746711615,4.765566287823092,0.011474609375,0.01123046875,0.01171875,0.0001701568514512,199,164,1225
105,220.1973487665745,66.43049325905268,4.982199010144558,0.00439453125,0.00439453125,0.00439453125,0.000326811377673,170,59,12321
106,317.625654214042,178.4448257270528,4.878174516599621,0.030517578125,0.02685546875,0.0341796875,0.000155822877195,425,389,1296
