Qubit,T1 (us),T2 (us),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,√x (sx) error ,P_Value,Zero,One,Quality
15,134.99003243534105,30.72728187850089,0.0080999999999999,0.0108,0.0054,0.000703466496972,0.0005942319864722,49457,50543,0
16,148.275781264609,18.80196008217021,0.0171999999999999,0.0186,0.0158,0.0002529120167948,6.89971731243321e-06,49289,50711,0
17,342.06517625741174,352.68055275755825,0.0153999999999999,0.0192,0.0116,0.000130909004173,7.722679550543438e-05,50625,49375,0
18,237.48670125926893,99.25478719443323,0.1049999999999999,0.1026,0.1074,0.0002277523337247,1.2409429330347425e-05,50691,49309,0
19,250.38800283922544,106.50686691929664,0.0836,0.084,0.0832,0.0001460116581338,0.0004809379849386,50552,49448,0
20,348.90597566130697,298.3332866176694,0.0205999999999999,0.0106,0.0306,0.0001362529865693,1.730679278874353e-13,48835,51165,0
21,314.6772261355906,148.48086952810115,0.0069,0.0074,0.0064,0.0001703045022685,1.3519524217820374e-06,49236,50764,0
22,257.02443174527474,171.94281021723154,0.0101999999999999,0.0128,0.0076,0.0001449622227063,0.0199420525570967,49632,50368,1
23,251.3557590510598,261.44381322722074,0.0181,0.0094,0.0268,0.0001649700924885,0.0120441386685601,49603,50397,1
24,224.8677845874205,107.52780857420278,0.138,0.0298,0.2462,0.0002037669930192,0.0,40370,59630,0
25,106.40240101992632,137.45164129792326,0.0101999999999999,0.0084,0.012,0.0003636490316071,0.8198919185049236,49964,50036,1
26,229.8920280055933,150.69124569939885,0.0087,0.0052,0.0122,0.0002235953334198,9.931930783094574e-39,47942,52058,0
27,310.21216809647814,216.5901852580537,0.0721,0.0304,0.1138,0.000150915278777,0.096240785220565,49737,50263,1
28,126.40760417134015,55.672504651627385,0.0419,0.01,0.0738,0.0010163964042193,2.511554168391961e-125,46235,53765,0
29,256.4800696912566,203.81273590678435,0.0363,0.0124,0.0602,0.0001773222568844,0.0004586634139231,49446,50554,0
30,204.3786849105484,68.35317153754441,0.0074999999999999,0.0076,0.0074,0.0001920389571397,0.0594679903603621,50298,49702,1
31,201.34167046633223,55.79580215746857,0.0069,0.0078,0.006,0.0002681767619568,0.8594396218419178,49972,50028,1
32,274.925978146232,368.4998148193293,0.0122999999999999,0.0096,0.015,0.0001288425761862,0.2081797225364322,50199,49801,1
33,220.73033213712145,138.15604866387386,0.0157,0.023,0.0084,0.0006536185354247,8.41549530167766e-39,52060,47940,0
34,220.17534149130623,165.31414586587553,0.0439,0.0286,0.0592,0.0002477562506179,0.1027352660624522,50258,49742,1
35,247.77640359741304,158.97399002667245,0.0161999999999999,0.0156,0.0168,0.000201851707169,3.9051658811715826e-09,49069,50931,0
36,137.6752875519037,199.1870372830564,0.0234999999999999,0.0122,0.0348,0.0001942662132049,0.0013433716852994,49493,50507,0
37,163.87786768234994,111.51958587534926,0.014,0.008,0.02,0.0001591393024009,0.0831084387949897,49726,50274,1
38,180.60578533865095,125.70839750543348,0.0207,0.0206,0.0208,0.0002537688304751,0.0148936912492968,50385,49615,1
39,326.04710546743013,116.96129348926732,0.0631,0.015,0.1112,0.0002295790966674,1.4822351560627131e-121,46293,53707,0
40,260.39794013471175,29.96169074861419,0.0121,0.0118,0.0124,0.0001553159094285,0.959647097620136,50008,49992,1
41,139.644259078749,135.19879067306215,0.0111999999999999,0.0176,0.0048,0.0002681654857437,0.3591109268831696,50145,49855,1
42,262.057206173568,147.05548105977508,0.0082999999999999,0.0076,0.009,0.0001673448393004,4.1390270194375005e-06,49272,50728,0
43,344.95093936790244,259.41524596689703,0.036,0.0106,0.0614,0.0002940613306225,1.7092635240198444e-16,48697,51303,0
