Qubit,T1 (us),T2 (us),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,√x (sx) error ,p_i
29,370.3552342447836,291.9396826793077,0.013427734375,0.01611328125,0.0107421875,0.0001324387905479,0.9528591682419628
29,263.4147997986309,183.5994925204549,0.0128,0.0144,0.0112,0.0002398904963465,0.9822778827977284
30,261.38301339728554,136.0188136677001,0.080078125,0.076171875,0.083984375,0.0008176402826895,0.8967391304347798
30,241.1891709937709,127.16372945099214,0.0647999999999999,0.0766,0.053,0.0016334954345116,0.9781427221171992
31,329.44374555262414,149.60927895829292,0.009521484375,0.01611328125,0.0029296875,0.0006914961450172,0.9351370510396946
31,348.4274771920665,163.21716314057332,0.0147,0.0178,0.0116,0.0003144129240637,0.8796077504725871
32,316.32686993921106,98.36629237799556,0.0191999999999999,0.029,0.0094,0.0001395752559647,0.7939508506616234
32,320.63676515264206,105.41346912633394,0.04248046875,0.0439453125,0.041015625,0.0001690132228895,0.8044659735349693
33,47.0730869763941,74.60216696582914,0.0102999999999999,0.0186,0.002,0.0012668643440829,0.823487712665404
33,391.2205240158313,260.77675377180896,0.002197265625,0.00244140625,0.001953125,0.0001092971398293,0.9528591682419628
34,289.6564024064034,170.22587624431435,0.0081999999999999,0.0108,0.0056,0.0002074921388124,0.9233223062381825
34,365.1162427283113,171.38030866925735,0.011962890625,0.01123046875,0.0126953125,0.0002365012759284,0.942225897920602
35,224.47899633983272,90.4117205150513,0.0047,0.0068,0.0026,0.0004795003714824,0.958766540642719
35,309.52736654464366,66.3952596693868,0.00927734375,0.01123046875,0.00732421875,0.0003072093656103,0.9564035916824166
36,248.62917811114443,135.91729983733694,0.0542,0.1064,0.002,0.0010665990175653,0.9233223062381825
36,345.941238680082,189.7702843783929,0.008544921875,0.01171875,0.00537109375,0.0002181763292606,0.937499999999997
37,453.0573327835605,276.8250752135915,0.0164999999999999,0.0206,0.0124,0.0022196890940346,0.9410444234404508
37,420.7135575419307,245.14258469459392,0.02734375,0.0185546875,0.0361328125,0.0013922170531645,0.8648393194706968
38,471.4830500122439,340.7177787536795,0.0116,0.0176,0.0056,0.0013672065693721,0.8707466918714529
38,491.32913577783,345.664716122354,0.0087890625,0.01025390625,0.00732421875,0.0009704633228652,0.9410444234404508
39,483.4137225482638,67.42686637406638,0.010009765625,0.0146484375,0.00537109375,0.0011112661171307,0.9078449905482012
39,479.4938591258113,59.70017862709077,0.0053999999999999,0.008,0.0028,0.0009304982638291,0.8412098298676723
40,383.02857490914784,30.514822129904285,0.0057,0.0078,0.0036,0.0002337033562573,0.9469517958412068
40,337.3254197904221,32.608481067193914,0.019287109375,0.029296875,0.00927734375,0.0006658792618911,0.9327741020793922
41,290.2414667123466,380.4882364584848,0.00390625,0.0048828125,0.0029296875,0.0001369076791353,0.9682183364839289
41,291.4894407662841,466.0764009444199,0.008,0.0136,0.0024,9.25694630195e-05,0.9351370510396946
42,283.23425009827747,79.70553005998471,0.002197265625,0.0029296875,0.00146484375,0.0001708036336303,0.9262759924385604
42,205.4471863214168,82.25441035769879,0.0031999999999999,0.0054,0.001,0.000159784669073,0.9504962192816604
43,296.5571325974068,185.6937292001305,0.005,0.0082,0.0018,0.000200214286542,0.9564035916824166
43,316.58631167489835,243.64277209290512,0.00244140625,0.0029296875,0.001953125,0.0001554790372631,0.9292296786389384
44,39.69521016980303,68.3005344813996,0.061767578125,0.07080078125,0.052734375,0.0006410913717374,0.9881852551984844
44,40.8672850153776,47.17494507706752,0.0724,0.1108,0.034,0.0007281440743607,0.6143667296786374
45,226.9641046870836,135.30753161165268,0.0048828125,0.0048828125,0.0048828125,0.0001978502496521,0.929820415879014
45,259.9404817933517,106.77627857432144,0.0028,0.005,0.0006,0.0002106559414299,0.9823960302457436
46,402.5889666546907,54.21561836444542,0.0080999999999999,0.0144,0.0018,0.0015583019958972,0.9351370510396946
