Qubit,T1_us,Frequency_GHz,Readout_assignment_error_,Prob_meas0_prep1_,Prob_meas1_prep0_,ID_error_,One,One_pred,RSE
115,212.79071381269603,4.709532804347699,0.00537109375,0.0048828125,0.005859375,0.0002055100148182,39,102,3969
116,131.40056455355148,4.958900352991607,0.015380859375,0.02685546875,0.00390625,0.0005226401451642,60,102,1764
117,246.8747463990332,4.831601230009959,0.022705078125,0.02294921875,0.0224609375,0.0001905848508895,603,377,51076
118,198.8611704125916,4.749123073950655,0.003173828125,0.00439453125,0.001953125,0.0003299519700823,39,37,4
119,349.92188731759893,4.61073284672942,0.006103515625,0.00830078125,0.00390625,0.0002588930285235,47,57,100
120,319.3972950977088,4.500651698364105,0.0322265625,0.02294921875,0.04150390625,8.48921690419e-05,555,621,4356
121,200.01422239148613,4.62033876357476,0.489501953125,0.505859375,0.47314453125,9.24564185671e-05,10065,10002,3969
122,332.34652490505624,4.688043372310299,0.008056640625,0.0087890625,0.00732421875,0.0001251019698888,166,106,3600
123,195.11222121284564,4.730579856773396,0.144287109375,0.1591796875,0.12939453125,0.0001921681035736,2146,2475,108241
124,338.7278910234347,4.63504193416792,0.0078125,0.0087890625,0.0068359375,0.0003012959247639,131,98,1089
125,331.2178897486926,4.737111464020178,0.006591796875,0.00634765625,0.0068359375,0.0009651437024976,139,97,1764
126,313.37769070206343,4.702936787087175,0.024658203125,0.01806640625,0.03125,0.0004406588536205,442,466,576
