Unnamed:_0,Qubit,T1_us,T2_us,Readout_assignment_error_,Prob_meas0_prep1_,Prob_meas1_prep0_,x_sx_error_,P_Value,Zero,One,Quality,abs,abs_pred,RSE
32,16,252.38336309162125,16.372709835707646,0.01806640625,0.013671875,0.0224609375,0.0002968054869654,4.9259356171309676e-32,38334,41666,0,3332,1522,3276100
33,16,148.275781264609,18.80196008217021,0.0171999999999999,0.0186,0.0158,0.0002529120167948,2.403468262870055e-31,41647,38353,0,3294,1346,3794704
34,17,342.06517625741174,352.68055275755825,0.0153999999999999,0.0192,0.0116,0.000130909004173,3.2899018430414304e-17,41193,38807,0,2386,1163,1495729
35,17,183.08100247970776,221.53029918683947,0.017333984375,0.01171875,0.02294921875,0.0001692053775096,0.0094568385234788,39633,40367,0,734,1460,527076
36,18,119.68547096349434,93.22240520103266,0.0166015625,0.01904296875,0.01416015625,0.0003159875488943,1.7205877850366854e-19,38723,41277,0,2554,1324,1512900
37,18,237.48670125926893,99.25478719443323,0.1049999999999999,0.1026,0.1074,0.0002277523337247,0.0002111910557762,40524,39476,0,1048,5456,19430464
38,19,250.38800283922544,106.50686691929664,0.0836,0.084,0.0832,0.0001460116581338,5.047396323649556e-14,41065,38935,0,2130,4379,5058001
39,19,320.1397973200648,139.52284668740532,0.01513671875,0.0234375,0.0068359375,0.0002094519022097,0.7078340606485755,40053,39947,1,106,1093,974169
40,20,205.8218312349316,219.76466909033044,0.0185546875,0.00927734375,0.02783203125,0.0002163763016461,1.1283604193367176e-62,37637,42363,0,4726,1610,9709456
41,20,348.90597566130697,298.3332866176694,0.0205999999999999,0.0106,0.0306,0.0001362529865693,0.0333046446483369,39699,40301,1,602,1686,1175056
42,21,250.23070936166383,134.4814964627794,0.009521484375,0.00634765625,0.0126953125,0.0001452744100939,2.7568435925286937e-118,43270,36730,0,6540,1040,30250000
43,21,314.6772261355906,148.48086952810115,0.0069,0.0074,0.0064,0.0001703045022685,0.000138234771828,39461,40539,0,1078,855,49729
44,22,275.8668086066445,201.19256018723257,0.02099609375,0.03369140625,0.00830078125,0.0003638582338904,0.0736180113866171,39747,40253,1,506,1338,692224
45,22,257.02443174527474,171.94281021723154,0.0101999999999999,0.0128,0.0076,0.0001449622227063,0.0951625730847832,39764,40236,1,472,954,232324
46,23,337.75458633878696,183.01285187082897,0.00927734375,0.01025390625,0.00830078125,0.0001496298842987,1.691976551659416e-06,39323,40677,0,1354,947,165649
47,23,251.3557590510598,261.44381322722074,0.0181,0.0094,0.0268,0.0001649700924885,0.0691766340110351,39743,40257,1,514,1556,1085764
48,24,230.8487331982512,119.6171321492539,0.12548828125,0.01416015625,0.23681640625,0.0001558721660167,0.0,29954,50046,0,20092,8584,132434064
49,24,224.8677845874205,107.52780857420278,0.138,0.0298,0.2462,0.0002037669930192,0.0,32600,47400,0,14800,9116,32307856
50,25,106.40240101992632,137.45164129792326,0.0101999999999999,0.0084,0.012,0.0003636490316071,0.4664177315848508,40103,39897,1,206,1135,863041
51,25,215.4356220836172,178.22225809635287,0.02099609375,0.00390625,0.0380859375,0.0001488790791938,1.0366276486866048e-77,37361,42639,0,5278,1853,11730625
52,26,229.8920280055933,150.69124569939885,0.0087,0.0052,0.0122,0.0002235953334198,1.0312177160696916e-34,38262,41738,0,3476,1042,5924356
53,26,228.94403018509547,17.493510576837703,0.030029296875,0.04736328125,0.0126953125,0.0017859892335793,8.998220839268621e-16,41137,38863,0,2274,2255,361
54,27,310.21216809647814,216.5901852580537,0.0721,0.0304,0.1138,0.000150915278777,6.660142433233878e-06,40637,39363,0,1274,4708,11792356
55,27,326.91858935625186,227.6277868179083,0.064208984375,0.08984375,0.03857421875,0.0001470913716844,0.0001268379266283,40542,39458,0,1084,2974,3572100
56,28,225.45173929366408,100.80527155061424,0.043212890625,0.01123046875,0.0751953125,0.0004131080085591,9.080978427323964e-110,36852,43148,0,6296,3290,9036036
57,28,126.40760417134015,55.672504651627385,0.0419,0.01,0.0738,0.0010163964042193,9.214168599261253e-103,36956,43044,0,6088,3480,6801664
58,29,330.0988703062876,295.2070706019093,0.0185546875,0.02490234375,0.01220703125,0.0001988376610223,2.073896363713263e-05,39398,40602,0,1204,1285,6561
59,29,256.4800696912566,203.81273590678435,0.0363,0.0124,0.0602,0.0001773222568844,0.7078340606485755,39947,40053,1,106,2708,6770404
60,30,451.54306417141504,64.82208370954781,0.009765625,0.01025390625,0.00927734375,0.0003115184437534,0.1745763503561818,39808,40192,1,384,1047,439569
61,30,204.3786849105484,68.35317153754441,0.0074999999999999,0.0076,0.0074,0.0001920389571397,0.2107233096378661,40177,39823,1,354,900,298116
62,31,83.55821541336894,60.4872428282716,0.00830078125,0.00830078125,0.00830078125,0.0015168449695105,0.7131002767842509,39948,40052,1,104,1494,1932100
63,31,201.34167046633223,55.79580215746857,0.0069,0.0078,0.006,0.0002681767619568,0.0389464904868819,40292,39708,1,584,888,92416
64,32,274.925978146232,368.4998148193293,0.0122999999999999,0.0096,0.015,0.0001288425761862,0.4535359030648584,40106,39894,1,212,1152,883600
65,32,199.16315807280392,229.88400733265004,0.015625,0.0126953125,0.0185546875,0.0001504423360221,0.0016121679383018,39554,40446,0,892,1319,182329
66,33,220.73033213712145,138.15604866387386,0.0157,0.023,0.0084,0.0006536185354247,1.279803104996803e-52,42159,37841,0,4318,1325,8958049
67,33,260.99290474339494,130.71509707998823,0.019775390625,0.0087890625,0.03076171875,0.0001634929853537,2.9279229963866013e-05,39409,40591,0,1182,1679,247009
68,34,220.17534149130623,165.31414586587553,0.0439,0.0286,0.0592,0.0002477562506179,0.0518299272179097,40275,39725,1,550,2913,5583769
69,34,317.53349157381024,146.15783933615776,0.03271484375,0.03076171875,0.03466796875,0.0001668462671431,1.6330396496656008e-26,38493,41507,0,3014,2093,848241
70,35,247.77640359741304,158.97399002667245,0.0161999999999999,0.0156,0.0168,0.000201851707169,9.005472353522979e-08,39244,40756,0,1512,1319,37249
71,35,316.3074967024734,162.78309672726076,0.015380859375,0.01123046875,0.01953125,0.0002137411655768,1.2998032109346844e-26,38490,41510,0,3020,1359,2758921
